employee_id,name,department,level,gender,birth_year,hire_date,exit_date,exit_type,regretted,base_salary_usd
FL0001,Keiko Schmidt,Research,L3,Woman,1977,2024-06-23,,,,118800
FL0002,Noah Larsen,Research,L6,Man,1980,2011-06-16,,,,302500
FL0003,Rahul Lindqvist,Research,L5,Man,1974,2017-12-01,,,,190700
FL0004,Leon Byrne,Research,L2,Man,1987,2019-11-07,,,,100800
FL0005,Sofia Okafor,Research,L3,Woman,1980,2024-10-23,,,,118100
FL0006,Olivia Iyer,Research,L2,Woman,1993,2018-02-06,,,,77200
FL0007,Ethan Dubois,Research,L3,Man,1990,2022-03-13,,,,126400
FL0008,Ruth Chen,Research,L3,Woman,1995,2023-03-21,,,,106000
FL0009,Lucia Ortiz,Research,L3,Woman,1982,2022-01-20,,,,100200
FL0010,Sofia Kim,Research,L2,Woman,1989,2023-09-01,,,,76300
FL0011,Maya Brennan,Research,L2,Woman,1991,2022-07-29,,,,88800
FL0012,Yusuf Yilmaz,Research,L1,Man,1997,2022-03-24,,,,73400
FL0013,Elena Tanaka,Research,L2,Woman,1999,2024-08-20,,,,82800
FL0014,Leah Dubois,Research,L1,Woman,2000,2023-06-17,,,,77600
FL0015,Noor Holm,Research,L3,Woman,1977,2022-07-23,,,,97500
FL0016,Amara Kowalski,Research,L5,Woman,1987,2015-06-29,,,,203500
FL0017,Ingrid Yilmaz,Research,L2,Woman,1989,2024-01-02,,,,101200
FL0018,Yusuf Haddad,Research,L2,Man,1986,2019-09-26,,,,94700
FL0019,Priya Sato,Research,L3,Woman,1986,2016-03-07,,,,99400
FL0020,Samuel Chen,Research,L5,Man,1985,2012-11-28,,,,193300
FL0021,Mateo Iyer,Research,L3,Man,1991,2023-12-28,,,,106200
FL0022,Lukas Moreau,Research,L5,Man,1984,2024-08-08,,,,180900
FL0023,Ruth Holm,Research,L1,Woman,1992,2022-10-17,,,,63600
FL0024,Noor Kim,Research,L3,Woman,1987,2024-03-18,,,,105600
FL0025,Leon Okafor,Research,L4,Man,1987,2018-01-16,,,,165400
FL0026,Ivan Nguyen,Research,L2,Man,1998,2022-09-11,,,,82400
FL0027,Lucia Dubois,Research,L1,Woman,2001,2023-12-28,,,,72700
FL0028,Leah Adeyemi,Research,L1,Woman,2001,2023-06-02,,,,79200
FL0029,Leah Kowalski,Research,L1,Woman,2001,2023-07-12,2025-05-21,Voluntary,No,61400
FL0030,Ethan Byrne,Research,L2,Man,1993,2018-08-15,,,,91600
FL0031,Marco Schmidt,Research,L2,Man,1985,2020-04-08,,,,96000
FL0032,Mateo Adeyemi,Research,L1,Man,1994,2021-07-05,,,,71800
FL0033,Diego Haddad,Research,L2,Man,1997,2021-12-21,,,,92700
FL0034,Noah Costa,Research,L2,Man,1989,2018-03-04,,,,86200
FL0035,Wei Mensah,Research,L3,Man,1982,2023-10-06,,,,125200
FL0036,Nadia Brennan,Research,L2,Woman,1993,2017-11-23,,,,99800
